url	title	date	author	up	normal	down	img_list	ip	
https://www.ptt.cc/bbs/Beauty/M.1417178845.A.8F5.html	[帥哥] 交大健身房帥哥>///<	2014-11-28 20:47:22	ck994097	77	15	10	http://i.imgur.com/5vXpH8G.jpg;http://i.imgur.com/DiMOlqA.jpg;http://i.imgur.com/dyLT4FM.jpg;http://i.imgur.com/BKEDEyM.jpg;http://i.imgur.com/pbKTH2f.jpg;http://i.imgur.com/fI1ZEyj.jpg	114.44.233.81	Taoyuan City
https://www.ptt.cc/bbs/Beauty/M.1417892691.A.01E.html	[帥哥] 小楊過  吳磊	2014-12-07 03:04:46	lovekimbum	4	1	0	http://i.imgur.com/dHStBl7.jpg;http://i.imgur.com/qMkpw1S.jpg;http://i.imgur.com/28O0uOo.jpg	42.76.233.223	Chang-hua
https://www.ptt.cc/bbs/Beauty/M.1417943269.A.98A.html	[帥哥] 帥!眼神有殺氣!	2014-12-07 17:07:45	lovepink7556	15	5	17	http://i.imgur.com/gIXe2Eo.jpg;http://i.imgur.com/RP9cEN3.jpg	114.24.49.57	Taipei
https://www.ptt.cc/bbs/Beauty/M.1418268812.A.5EF.html	[帥哥] 地鐵外國帥哥	2014-12-11 11:33:29	benji2007	6	10	6	http://i.imgur.com/CP9uHH8.jpg	134.208.242.47	Taipei
https://www.ptt.cc/bbs/Beauty/M.1418725259.A.323.html	[帥哥] 清大工科最帥	2014-12-16 18:20:56	bkk0225	54	10	17	http://i.imgur.com/OTZO32j.jpg;http://i.imgur.com/iExLy3B.jpg;http://i.imgur.com/jK2cnob.jpg	223.142.58.58	Taoyuan City
https://www.ptt.cc/bbs/Beauty/M.1418832413.A.ED6.html	[帥哥] 質感男	2014-12-18 00:06:50	yalooo626	32	10	4	http://i.imgur.com/m5gys47.jpg	39.9.148.142	Banqiao
https://www.ptt.cc/bbs/Beauty/M.1418888586.A.31A.html	[帥哥] 成功der	2014-12-18 15:43:04	LSKCmuachi	29	11	12	http://i.imgur.com/zMkAuSt.jpg	42.70.192.14	Banqiao
https://www.ptt.cc/bbs/Beauty/M.1419156983.A.925.html	[帥哥] 出賣老爸(ノ뒑龤ꬪ)	2014-12-21 18:16:21	seanww	103	15	19	http://i.imgur.com/WwwqZ2u.jpg;http://i.imgur.com/A0RAVa8.jpg;http://i.imgur.com/WAJun3z.jpg;http://i.imgur.com/y276ky2.jpg	36.231.126.163	Taipei
https://www.ptt.cc/bbs/Beauty/M.1419515946.A.EC1.html	[帥哥] 出賣學長	2014-12-25 21:59:03	naish1120	23	13	15	http://i.imgur.com/kgmlGTC.jpg;http://i.imgur.com/ThBcyBc.jpg;http://i.imgur.com/qZCcVKK.jpg;http://i.imgur.com/91DKIih.jpg;http://i.imgur.com/D5hEpB4.jpg;http://i.imgur.com/SK7sCLK.jpg	42.79.158.142	Fengyuan
https://www.ptt.cc/bbs/Beauty/M.1419567551.A.BA9.html	[帥哥] 民國郭富城	2014-12-26 12:19:08	nascency	13	6	0	http://i.imgur.com/s4S0AaZ.jpg;http://i.imgur.com/s4S0AaZ.jpg;http://i.imgur.com/khzVQvO.jpg;http://i.imgur.com/khzVQvO.jpg	140.119.120.6	Taipei
https://www.ptt.cc/bbs/Beauty/M.1419742793.A.1DF.html	[帥哥] 分享我的阿公~	2014-12-28 12:59:34	s50632413	23	11	18	http://i.imgur.com/HIQbtpJ.jpg;http://i.imgur.com/Ufu7dRU.jpg;http://i.imgur.com/cELNMaz.jpg;http://i.imgur.com/c7ThO6u.jpg;http://i.imgur.com/qQsHnsC.jpg;http://i.imgur.com/M6nikzf.jpg;http://i.imgur.com/EQZVwJh.jpg	36.236.236.4	Fengshan
https://www.ptt.cc/bbs/Beauty/M.1419921061.A.3C8.html	[帥哥] 出賣表哥	2014-12-30 14:30:59	y03928	30	12	0	http://i.imgur.com/KvbeBYO.jpg;http://i.imgur.com/JYL3E95.jpg;http://i.imgur.com/AjPGrSi.jpg	27.246.138.128	Banqiao
https://www.ptt.cc/bbs/Beauty/M.1419935225.A.CA6.html	[帥哥] 可愛帥氣兼具的籃球員 (圖多)	2014-12-30 18:27:03	yolo0616	13	10	16	http://i.imgur.com/pRmefik.jpg;http://i.imgur.com/vJxrn5p.jpg;http://i.imgur.com/RTZzoFX.jpg;http://i.imgur.com/iWubZYb.jpg;http://i.imgur.com/TgqaNwv.jpg;http://i.imgur.com/NURpVUB.jpg;http://i.imgur.com/6t7lU3Z.jpg;http://i.imgur.com/bsAUtCK.jpg;http://i.imgur.com/xo8NpCA.jpg;http://i.imgur.com/2wlFlZ1.jpg;http://i.imgur.com/kuNXDk4.jpg;http://i.imgur.com/mrg3HZ8.jpg;http://i.imgur.com/ILrDKP0.jpg;http://i.imgur.com/nTEPMBo.jpg;http://i.imgur.com/68JwaBx.jpg	61.227.153.42	Fengshan
https://www.ptt.cc/bbs/Beauty/M.1420974084.A.940.html	[帥哥] 出賣爸爸	2015-01-11 19:01:22	empty40314	23	10	7	http://i.imgur.com/wqllbwK.jpg	223.139.10.253	Taibao
https://www.ptt.cc/bbs/Beauty/M.1421218925.A.2FC.html	[帥哥] 輔大監考助教好友	2015-01-14 15:02:03	soreness	18	10	13	http://i.imgur.com/eq9iaur.jpg;http://i.imgur.com/GnKixyJ.jpg;http://i.imgur.com/jR5crO3.jpg;http://i.imgur.com/mYKKHv2.jpg;http://i.imgur.com/xV3T2hD.jpg;http://i.imgur.com/05xhAJM.jpg	211.22.135.210	Taitung
https://www.ptt.cc/bbs/Beauty/M.1421337576.A.644.html	[帥哥] 帥氣的台灣虎航空少兩枚	2015-01-15 23:59:34	a710138	6	11	6	http://i.imgur.com/JND0Ei5.jpg	180.217.157.177	Banqiao
https://www.ptt.cc/bbs/Beauty/M.1421334252.A.2AC.html	[帥哥] 出賣爺爺!!	2015-01-15 23:04:09	orangebluest	11	12	15	http://i.imgur.com/nhA7vuX.jpg	114.43.127.230	Keelung
https://www.ptt.cc/bbs/Beauty/M.1421494341.A.92F.html	[帥哥] 小李洪基	2015-01-17 19:32:19	gaminnnene	2	10	3	http://i.imgur.com/MFb3rpI.jpg;http://i.imgur.com/0NwyFk7.jpg;http://i.imgur.com/CEyPBLD.jpg	61.231.114.177	Hsinchu
https://www.ptt.cc/bbs/Beauty/M.1422450874.A.87E.html	[帥哥] 五股張東健前來挑戰	2015-01-28 21:14:26	bennyt6182	141	22	35	http://i.imgur.com/kSFcvyI.jpg;http://i.imgur.com/ZpBO4JR.jpg;http://i.imgur.com/taAKkhW.jpg;http://i.imgur.com/KR65lfp.jpg	27.245.21.61	Taoyuan City
https://www.ptt.cc/bbs/Beauty/M.1422548299.A.652.html	[帥哥] 出賣自己哥哥	2015-01-30 00:18:17	sy5023188	38	26	21	http://i.imgur.com/8fQ7xtU.jpg;http://i.imgur.com/KUFzJ4F.jpg	42.66.130.6	Taipei
